Adresse;Byte;Bezeichner;Funktion;Wert
0;1;SB1;Error Status global;
1;4;SB2;Längengrad (Fusion);
5;4;SB3;Breitengrad (Fusion);
9;1;SB4;SatFix (deprecate);
A;2;SB5;Geschwindigkeit (Fusion);
C;2;SB6;Kurswinkel (Fusion);
E;3;SB7;Timestamp;
12;2;SB8;Radar Entfernung;
14;1;SB9;Radar Geschwindigkeit;
20;4;SB20;Längengrad;
24;4;SB21;Breitengrad;
28;1;SB22;SatFix;
29;2;SB23;GPS Geschwindigkeit;
2B;2;SB24;Kurswinkel Kompass;
2D;2;SB25;IMU Beschleunigung x;
2F;2;SB26;IMU Beschleunigung y;
31;2;SB27;IMU Beschleunigung z;
33;2;SB28;IMU Omega x;
35;2;SB29;IMU Omega y;
37;2;SB30;IMU Omega z;
39;2;SB31;Rollwinkel um x;
3B;2;SB32;Nickwinkel um y;
3D;2;SB33;Gierwinkel um z;
100;8;AF1;Führung Punkt A, Länge, Breite;
108;8;AF2;Führung Punkt B, Länge, Breite;
110;2;AF3;Führung Geschwindigkeit;
112;2;AF4;Führung Epsilon;
120;2;AS1;Schub;
122;2;AS2;Ruder;
130;2;EM1;Spannun Akku 1;24,20
132;2;EM2;Strom Akku 1;55,40
134;2;EM3;Ladung Akku 1;55,00
136;2;EM4;Spannung Akku 2;19,30
138;2;EM5;Strom Akku 2;51,70
13A;2;EM6;Ladung Akku 2;52,00
13C;2;EM7;Ladespannung Solar;24,00
13E;1;EM8;Board-Temperatur;18,60
13F;2;EM9;Spannung Lidar;24,10
200;1;ER1;ESB GPS;
201;1;ER2;ESB Kompass;
202;1;ER3;ESB Control;
203;1;ER4;ESB Lidar;
204;1;ER5;ESB Radar;
205;1;ER6;ESB IMU;
206;1;ER7;ESB Antrieb;
207;1;ER8;ESB Solar;
208;1;ER9;ESB APRS;
220;362;ES1;Lidar Entfernung;
